title,abstract,keywords,Dosen,content,user_id
perbaikan kualitas citra digital kombinasi adaptive multiscale retinex color restoration,digital image representation twodimensional image set digital called pixels digital image widely various needs provide image however digital images taken sometimes quality degradation one digital image quality degradation poor lighting makes image becomes dark bright moreover change actual color object taken therefore need enhance contrast color restoration digital images conducted develop software enhance quality digital images combination adaptive multiscale retinex color restoration adaptive multiscale retinex amsr produce images natural contrast color restoration restore color digital image success enhancement quality dark image normal image overexposure image slightly enhancement complex image significant enhancemet,digital image enhancement adaptive multiscale retinex color restoration,rifkie primartha,perbaikan kualitas citra digital kombinasi adaptive multiscale retinex color restoration digital image enhancement adaptive multiscale retinex color restoration digital image representation twodimensional image set digital called pixels digital image widely various needs provide image however digital images taken sometimes quality degradation one digital image quality degradation poor lighting makes image becomes dark bright moreover change actual color object taken therefore need enhance contrast color restoration digital images conducted develop software enhance quality digital images combination adaptive multiscale retinex color restoration adaptive multiscale retinex amsr produce images natural contrast color restoration restore color digital image success enhancement quality dark image normal image overexposure image slightly enhancement complex image significant enhancemet,mhs_138
perbaikan kualitas citra digital kombinasi adaptive multiscale retinex color restoration,digital image representation twodimensional image set digital called pixels digital image widely various needs provide image however digital images taken sometimes quality degradation one digital image quality degradation poor lighting makes image becomes dark bright moreover change actual color object taken therefore need enhance contrast color restoration digital images conducted develop software enhance quality digital images combination adaptive multiscale retinex color restoration adaptive multiscale retinex amsr produce images natural contrast color restoration restore color digital image success enhancement quality dark image normal image overexposure image slightly enhancement complex image significant enhancemet,digital image enhancement adaptive multiscale retinex color restoration,kanda januar miraswan,perbaikan kualitas citra digital kombinasi adaptive multiscale retinex color restoration digital image enhancement adaptive multiscale retinex color restoration digital image representation twodimensional image set digital called pixels digital image widely various needs provide image however digital images taken sometimes quality degradation one digital image quality degradation poor lighting makes image becomes dark bright moreover change actual color object taken therefore need enhance contrast color restoration digital images conducted develop software enhance quality digital images combination adaptive multiscale retinex color restoration adaptive multiscale retinex amsr produce images natural contrast color restoration restore color digital image success enhancement quality dark image normal image overexposure image slightly enhancement complex image significant enhancemet,mhs_139
traffic network pemilihan atribut,number users internet services increasing traffic internet also congested get utilization traffic pattern traffic volume traffic log large always increasing rapidly requires effective simple applied chosen pretty much applied calculating probability attributes appears internet traffic 248 attributes class highest precision recall www class 0994 091 0994 ranking highest entropy 086914856 attribute 4 highest attribute validation attribute 35 972942 expected useful makers managing internet future,internet traffic,rifkie primartha,traffic network pemilihan atribut internet traffic number users internet services increasing traffic internet also congested get utilization traffic pattern traffic volume traffic log large always increasing rapidly requires effective simple applied chosen pretty much applied calculating probability attributes appears internet traffic 248 attributes class highest precision recall www class 0994 091 0994 ranking highest entropy 086914856 attribute 4 highest attribute validation attribute 35 972942 expected useful makers managing internet future,mhs_140
kompresi teks lempelzivwelch lzw,kebutuhan masyarakat kebutuhan berdampak dibutuhkannya ruang penyimpanan media penyimpanan teks gambar audio video mampatkan kompres penggunaan ruang penyimpanan efisien salah pemapatan bersifat lossless lempelzivwelch lzw teks 160 file 8 kategori ukuran dihitung ukuran kompresi rasio persentase kompresi kompresi kompresi ukuran file dibawah 50 kb rasio 105 â 140 persentase kompresi 0 ukuran file 50 kb â 2000 kb kompresi rasio 084 â 050 persentase 1572 4975 dibutuhkan 0005 detik â 1345 detik,lossless lzw rasio persentase teks,kanda januar miraswan,kompresi teks lempelzivwelch lzw lossless lzw rasio persentase teks kebutuhan masyarakat kebutuhan berdampak dibutuhkannya ruang penyimpanan media penyimpanan teks gambar audio video mampatkan kompres penggunaan ruang penyimpanan efisien salah pemapatan bersifat lossless lempelzivwelch lzw teks 160 file 8 kategori ukuran dihitung ukuran kompresi rasio persentase kompresi kompresi kompresi ukuran file dibawah 50 kb rasio 105 â 140 persentase kompresi 0 ukuran file 50 kb â 2000 kb kompresi rasio 084 â 050 persentase 1572 4975 dibutuhkan 0005 detik â 1345 detik,mhs_141
penentuan budidaya tanaman analytical hierarchy fahp,farmers planting crops know take account whether land ready condition planted certain plants plants beginning planting nonproductive plants set aside crop suffer considerable losses later order get form right plants planted according certain conditions types soil needed help farmers choose plants planted minimize planting errors increase production agricultural sector one developed suitable analytic hierarchy fahp ahp cover weaknesses found ahp well problems occur criteria subjective characteristics test determining plant cultivation analytic hierarchy fahp 94,ahp ahp logic determination plant cultivation,dian palupi rini,penentuan budidaya tanaman analytical hierarchy fahp ahp ahp logic determination plant cultivation farmers planting crops know take account whether land ready condition planted certain plants plants beginning planting nonproductive plants set aside crop suffer considerable losses later order get form right plants planted according certain conditions types soil needed help farmers choose plants planted minimize planting errors increase production agricultural sector one developed suitable analytic hierarchy fahp ahp cover weaknesses found ahp well problems occur criteria subjective characteristics test determining plant cultivation analytic hierarchy fahp 94,mhs_142
penentuan budidaya tanaman analytical hierarchy fahp,farmers planting crops know take account whether land ready condition planted certain plants plants beginning planting nonproductive plants set aside crop suffer considerable losses later order get form right plants planted according certain conditions types soil needed help farmers choose plants planted minimize planting errors increase production agricultural sector one developed suitable analytic hierarchy fahp ahp cover weaknesses found ahp well problems occur criteria subjective characteristics test determining plant cultivation analytic hierarchy fahp 94,ahp ahp logic determination plant cultivation,kanda januar miraswan,penentuan budidaya tanaman analytical hierarchy fahp ahp ahp logic determination plant cultivation farmers planting crops know take account whether land ready condition planted certain plants plants beginning planting nonproductive plants set aside crop suffer considerable losses later order get form right plants planted according certain conditions types soil needed help farmers choose plants planted minimize planting errors increase production agricultural sector one developed suitable analytic hierarchy fahp ahp cover weaknesses found ahp well problems occur criteria subjective characteristics test determining plant cultivation analytic hierarchy fahp 94,mhs_143
rsa encryption rsaelgamal key generation ascii,increasing number users internet services needs secured one way get secure encryption rsa keys large requires long time key generation requires effective simple implement key generation elgamal key size smaller rsa selected speed rsa key generation rsa elgamal rsa key generation average yield key generation computing time rsaelgamal 1358 bits rsa 2048 bits 1831877422 ns 3389572767 ns respectively expected useful takers rsa cryptosystem future,key generation encryption rsa elgamal,al farissi,rsa encryption rsaelgamal key generation ascii key generation encryption rsa elgamal increasing number users internet services needs secured one way get secure encryption rsa keys large requires long time key generation requires effective simple implement key generation elgamal key size smaller rsa selected speed rsa key generation rsa elgamal rsa key generation average yield key generation computing time rsaelgamal 1358 bits rsa 2048 bits 1831877422 ns 3389572767 ns respectively expected useful takers rsa cryptosystem future,mhs_144
kombinasi cmeans topsis pemilihan beasiswa peningkatan prestasi akademik ppa universitas sriwijaya,peningkatan prestasi akademik ppa scholarship one main educational assistance government outstanding students academic fields financial problems sriwijaya university unsri one organizers ppa scholarship program received many applicants large number registrants determination number criteria making number quota recipients doubted ppa registrants become ppa scholarship recipients 5 decisionmaking criteria scholarships namely gpa number sks number achievements parents earnings number parents dependents two processes making namely grouping cmeans fcm ranking topsis calculation xbi xie beni index optimal number clusters 5 clusters done comparing ranking topsis combination fcmtopsis 198 topsis ranking percentage 769 fcmtopsis combination percentage 954 real 2018 ppa scholarship recipients unsri found combination fcmtopsis could increase compared ranking topsis,ppa minmax normalization cmeans topsis fcmtopsis xie beni index xbi,kanda januar miraswan,kombinasi cmeans topsis pemilihan beasiswa peningkatan prestasi akademik ppa universitas sriwijaya ppa minmax normalization cmeans topsis fcmtopsis xie beni index xbi peningkatan prestasi akademik ppa scholarship one main educational assistance government outstanding students academic fields financial problems sriwijaya university unsri one organizers ppa scholarship program received many applicants large number registrants determination number criteria making number quota recipients doubted ppa registrants become ppa scholarship recipients 5 decisionmaking criteria scholarships namely gpa number sks number achievements parents earnings number parents dependents two processes making namely grouping cmeans fcm ranking topsis calculation xbi xie beni index optimal number clusters 5 clusters done comparing ranking topsis combination fcmtopsis 198 topsis ranking percentage 769 fcmtopsis combination percentage 954 real 2018 ppa scholarship recipients unsri found combination fcmtopsis could increase compared ranking topsis,mhs_145
genetic time series optimization development domestic tourists visit amount bali,tourism industry important role socializing cultures indonesia time goes tourists amount increase decrease causing decline sector local communities income one make time series time series time series forecasting concept consisting collection object time range forecasting time series optimized genetic optimization done determining interval time series order get error rate called mean absolute percentage error better conventional time seriesbased tests tourist visit amounts bali conventional time series mean absolute percentage error 207211 time 746517ms time 8040652ms hand optimization genetic 200 parameter number iteration 150 population number probability combination crossover rate 065 mutation rate 04 mean absolute percentage error 204257 time 204399547111ms time 103686ms,tourist visits amount time series genetic,kanda januar miraswan,genetic time series optimization development domestic tourists visit amount bali tourist visits amount time series genetic tourism industry important role socializing cultures indonesia time goes tourists amount increase decrease causing decline sector local communities income one make time series time series time series forecasting concept consisting collection object time range forecasting time series optimized genetic optimization done determining interval time series order get error rate called mean absolute percentage error better conventional time seriesbased tests tourist visit amounts bali conventional time series mean absolute percentage error 207211 time 746517ms time 8040652ms hand optimization genetic 200 parameter number iteration 150 population number probability combination crossover rate 065 mutation rate 04 mean absolute percentage error 204257 time 204399547111ms time 103686ms,mhs_146
perbandingan pengukuran jarak knearest neighbor,knearest neighbor nonparametric initial assumptions models calculation quality knearest neighbor dependent distance object k specified distance measurement determines several measuring euclidean distance distance manhattan distance tchebychev distance cosine distance examined see distance measurement optimally knearest neighbor k also determines knearest neighbor determination k also needs considered cervical cancer provides highest cosine distance distance measurement equal 92559 k9 manhattan distance measurement 91666 k13 tchebychev distance measurement 91666 k13 lowest euclidean equal 91071 k13 compatible distance measurement cosine distance even best k k9 though highest computation time 0898 compared euclidean 0555 manhattan 05882 tchebychev lowest computation time 049,pengukuran jarak knearest neighbor euclidean distance manhattan distance techebyhev distance costine distance,rifkie primartha,perbandingan pengukuran jarak knearest neighbor pengukuran jarak knearest neighbor euclidean distance manhattan distance techebyhev distance costine distance knearest neighbor nonparametric initial assumptions models calculation quality knearest neighbor dependent distance object k specified distance measurement determines several measuring euclidean distance distance manhattan distance tchebychev distance cosine distance examined see distance measurement optimally knearest neighbor k also determines knearest neighbor determination k also needs considered cervical cancer provides highest cosine distance distance measurement equal 92559 k9 manhattan distance measurement 91666 k13 tchebychev distance measurement 91666 k13 lowest euclidean equal 91071 k13 compatible distance measurement cosine distance even best k k9 though highest computation time 0898 compared euclidean 0555 manhattan 05882 tchebychev lowest computation time 049,mhs_147
optimasi inference mamdani ant colony optimizationaco menghitung curah hujan,rainy season occurs indonesia october april highest rainfall peak december possibility weather anomalies even climate deviations marked changes peak rainfall conditions ignored cause flooding several cities especially palembang characteristics rain difficult predict inference fis optimization ant colony optimization aco calculate rainfall rainfall predicted applying rules basic reasoning logic applying inference three input variables affect occurrence rain form air temperature relative humidity wind speed showed inference fis ant colony optimization aco could applied 2015 root mean square error rmse least 12588262938361 musim penghujan indonesia oktober april puncak curah hujan tertinggi desember anomali cuaca penyimpangan iklim ditandai berubahnya puncak curah hujan kondisi diabaikan mengakibatkan banjir kota palembang ciriciri hujan sulit diprediksi optimasi inference fis ant colony optimization aco menghitung curah hujan curah hujan diprediksikan menerapkan aturan penalaran dasar logika menerapkan inference variable input mempengaruhi hujan suhu udara kelembaban relative kecepatan angin penerapan inference fis ant colony optimization aco diterapkan 2015 memiliki root mean square error rmse 12588262938361,optimasi inference logika curah hujan ant colony optimization,dian palupi rini,optimasi inference mamdani ant colony optimizationaco menghitung curah hujan optimasi inference logika curah hujan ant colony optimization rainy season occurs indonesia october april highest rainfall peak december possibility weather anomalies even climate deviations marked changes peak rainfall conditions ignored cause flooding several cities especially palembang characteristics rain difficult predict inference fis optimization ant colony optimization aco calculate rainfall rainfall predicted applying rules basic reasoning logic applying inference three input variables affect occurrence rain form air temperature relative humidity wind speed showed inference fis ant colony optimization aco could applied 2015 root mean square error rmse least 12588262938361 musim penghujan indonesia oktober april puncak curah hujan tertinggi desember anomali cuaca penyimpangan iklim ditandai berubahnya puncak curah hujan kondisi diabaikan mengakibatkan banjir kota palembang ciriciri hujan sulit diprediksi optimasi inference fis ant colony optimization aco menghitung curah hujan curah hujan diprediksikan menerapkan aturan penalaran dasar logika menerapkan inference variable input mempengaruhi hujan suhu udara kelembaban relative kecepatan angin penerapan inference fis ant colony optimization aco diterapkan 2015 memiliki root mean square error rmse 12588262938361,mhs_148
optimasi inference mamdani ant colony optimizationaco menghitung curah hujan,rainy season occurs indonesia october april highest rainfall peak december possibility weather anomalies even climate deviations marked changes peak rainfall conditions ignored cause flooding several cities especially palembang characteristics rain difficult predict inference fis optimization ant colony optimization aco calculate rainfall rainfall predicted applying rules basic reasoning logic applying inference three input variables affect occurrence rain form air temperature relative humidity wind speed showed inference fis ant colony optimization aco could applied 2015 root mean square error rmse least 12588262938361 musim penghujan indonesia oktober april puncak curah hujan tertinggi desember anomali cuaca penyimpangan iklim ditandai berubahnya puncak curah hujan kondisi diabaikan mengakibatkan banjir kota palembang ciriciri hujan sulit diprediksi optimasi inference fis ant colony optimization aco menghitung curah hujan curah hujan diprediksikan menerapkan aturan penalaran dasar logika menerapkan inference variable input mempengaruhi hujan suhu udara kelembaban relative kecepatan angin penerapan inference fis ant colony optimization aco diterapkan 2015 memiliki root mean square error rmse 12588262938361,optimasi inference logika curah hujan ant colony optimization,kanda januar miraswan,optimasi inference mamdani ant colony optimizationaco menghitung curah hujan optimasi inference logika curah hujan ant colony optimization rainy season occurs indonesia october april highest rainfall peak december possibility weather anomalies even climate deviations marked changes peak rainfall conditions ignored cause flooding several cities especially palembang characteristics rain difficult predict inference fis optimization ant colony optimization aco calculate rainfall rainfall predicted applying rules basic reasoning logic applying inference three input variables affect occurrence rain form air temperature relative humidity wind speed showed inference fis ant colony optimization aco could applied 2015 root mean square error rmse least 12588262938361 musim penghujan indonesia oktober april puncak curah hujan tertinggi desember anomali cuaca penyimpangan iklim ditandai berubahnya puncak curah hujan kondisi diabaikan mengakibatkan banjir kota palembang ciriciri hujan sulit diprediksi optimasi inference fis ant colony optimization aco menghitung curah hujan curah hujan diprediksikan menerapkan aturan penalaran dasar logika menerapkan inference variable input mempengaruhi hujan suhu udara kelembaban relative kecepatan angin penerapan inference fis ant colony optimization aco diterapkan 2015 memiliki root mean square error rmse 12588262938361,mhs_149
peringkasan dokumen bahasa indonesia cerpen maximum marginal relevance,reading activity activity reqiures relatively long time long time influential personâs productivity therefore summarizing document automatically needed help get short story core documents formatted form txt directly form website wwwcerpenmucom amount collected 20 short stories four stages namely first preprocessing sentence solving folding case tokenizing stopword stemming second calculate weight summary sentences various features features contained words resemble titles frequency occurrence words sentences also lenght sentences third determine summary sentences form sentence extraction maximum marginal relevance fourth sequencing summary sentences produce summary easy understand readers summary shoftware compared summary form experts produce average precision 767 recall 775 fmeasure 77,maximum marginal relevance automatic document summarization textpreprocessing,novi yusliani,peringkasan dokumen bahasa indonesia cerpen maximum marginal relevance maximum marginal relevance automatic document summarization textpreprocessing reading activity activity reqiures relatively long time long time influential personâs productivity therefore summarizing document automatically needed help get short story core documents formatted form txt directly form website wwwcerpenmucom amount collected 20 short stories four stages namely first preprocessing sentence solving folding case tokenizing stopword stemming second calculate weight summary sentences various features features contained words resemble titles frequency occurrence words sentences also lenght sentences third determine summary sentences form sentence extraction maximum marginal relevance fourth sequencing summary sentences produce summary easy understand readers summary shoftware compared summary form experts produce average precision 767 recall 775 fmeasure 77,mhs_150
perbandingan knearest neighbour knearest neighbour,knn effective commonly also believed one popular easiest implemented subject also lot similarities one knn known ability determine object category also weight called knn knearest neighbour basically knn theory difference two ability knn determines membership individuals writer tried examine affects weights leads membership k iris blood transfusion objects found best knn knn 9804 iris k 1 knn k 13 knn meanwhile blood transfusion best shows knn better 8054 knn 7895 k 20 keywords knearest neighbour knearest neighbour weights membership,dataknearest neighbour knearest neighbour,rifkie primartha,perbandingan knearest neighbour knearest neighbour dataknearest neighbour knearest neighbour knn effective commonly also believed one popular easiest implemented subject also lot similarities one knn known ability determine object category also weight called knn knearest neighbour basically knn theory difference two ability knn determines membership individuals writer tried examine affects weights leads membership k iris blood transfusion objects found best knn knn 9804 iris k 1 knn k 13 knn meanwhile blood transfusion best shows knn better 8054 knn 7895 k 20 keywords knearest neighbour knearest neighbour weights membership,mhs_151
perbandingan knearest neighbour knearest neighbour,knn effective commonly also believed one popular easiest implemented subject also lot similarities one knn known ability determine object category also weight called knn knearest neighbour basically knn theory difference two ability knn determines membership individuals writer tried examine affects weights leads membership k iris blood transfusion objects found best knn knn 9804 iris k 1 knn k 13 knn meanwhile blood transfusion best shows knn better 8054 knn 7895 k 20 keywords knearest neighbour knearest neighbour weights membership,dataknearest neighbour knearest neighbour,danny matthew saputra,perbandingan knearest neighbour knearest neighbour dataknearest neighbour knearest neighbour knn effective commonly also believed one popular easiest implemented subject also lot similarities one knn known ability determine object category also weight called knn knearest neighbour basically knn theory difference two ability knn determines membership individuals writer tried examine affects weights leads membership k iris blood transfusion objects found best knn knn 9804 iris k 1 knn k 13 knn meanwhile blood transfusion best shows knn better 8054 knn 7895 k 20 keywords knearest neighbour knearest neighbour weights membership,mhs_152
pendukungn keputusan pemilihan wisata kota palembang multiattribute utility maut electre,time determination destination tourist objects visited form print electronic media subjectively tourists difficulty determining tourist destinations visited many alternative tourist destinations city palembang therefore need support dss recommend tourist attractions city palembang multi attribute utility theory maut electre maut carry weighting normalization matrix electre perform calculation recommendations tourism destination authors took three criteria attributes processing namely cost cost entering tourist destinations time total opening hours tourist attractions facilities availability facilities tourist attractions recommendations given input given generate recommendations list tourist destination combination maut electre implemented produces rate 71,support dss electre multiattribute utility theory maut palembang tourism destinations,kanda januar miraswan,pendukungn keputusan pemilihan wisata kota palembang multiattribute utility maut electre support dss electre multiattribute utility theory maut palembang tourism destinations time determination destination tourist objects visited form print electronic media subjectively tourists difficulty determining tourist destinations visited many alternative tourist destinations city palembang therefore need support dss recommend tourist attractions city palembang multi attribute utility theory maut electre maut carry weighting normalization matrix electre perform calculation recommendations tourism destination authors took three criteria attributes processing namely cost cost entering tourist destinations time total opening hours tourist attractions facilities availability facilities tourist attractions recommendations given input given generate recommendations list tourist destination combination maut electre implemented produces rate 71,mhs_153
pendukung keputusan kombinasi simple additive weighting saw technique order similiarity ideal solution topsis menetukan kredit rumah,sometimes company requires help making decisions solve problems quickly accurately support developed determine priority customers deserve credit combination simple additive weighting saw technique order similiarity ideal solution topsis chosen ability make multicriteria multialternative decisions precisely criteria weights predetermined criteria 10 25 50 customer determine sawtopsis compared credit experts company sawtopsis calculation prove combination improve making decisions determining priority customers eligible receive credit average 100 compared saw average 667,credit support saw sawtopsis,kanda januar miraswan,pendukung keputusan kombinasi simple additive weighting saw technique order similiarity ideal solution topsis menetukan kredit rumah credit support saw sawtopsis sometimes company requires help making decisions solve problems quickly accurately support developed determine priority customers deserve credit combination simple additive weighting saw technique order similiarity ideal solution topsis chosen ability make multicriteria multialternative decisions precisely criteria weights predetermined criteria 10 25 50 customer determine sawtopsis compared credit experts company sawtopsis calculation prove combination improve making decisions determining priority customers eligible receive credit average 100 compared saw average 667,mhs_154
query expansion pendeteksian kemiripan teks cosine similarity,cosine similarity calculating similarity depends word word tested word test word source word match word word list word cannot counted examines effect query expansion thesaurus one improve effectiveness word list match cosine similarity query expansion without query expansion tested 7 source documents 21 comparison documents cosine similarity evaluation query expansion improve detection similarity compared cosine similarity without query expansion percentage 4690 without query expansion 4311 window size 2 4290 window size 3 4259 window size 4 although increase overall computing time however term forming query expansion makes similarity better keywords expansion query thesaurus cosine similarity window size,expansion query thesaurus cosine similarity window size,novi yusliani,query expansion pendeteksian kemiripan teks cosine similarity expansion query thesaurus cosine similarity window size cosine similarity calculating similarity depends word word tested word test word source word match word word list word cannot counted examines effect query expansion thesaurus one improve effectiveness word list match cosine similarity query expansion without query expansion tested 7 source documents 21 comparison documents cosine similarity evaluation query expansion improve detection similarity compared cosine similarity without query expansion percentage 4690 without query expansion 4311 window size 2 4290 window size 3 4259 window size 4 although increase overall computing time however term forming query expansion makes similarity better keywords expansion query thesaurus cosine similarity window size,mhs_155
perbandingan domain spasial svd domain frekuensi dwt digital image watermarking,digital work especially digital images people photographers designers etc need require proof ownership work claimed anyone one way prove ownership digital work give watermark digital watermark work watermarking several give watermark digital image made comparing singular decomposition discrete wavelet transform svd insertion highest average psnr 404407 dwt highest average psnr 463658 extraction svd highest average psnr 226167 dwt highest average psnr 213460 durability extraction jpeg compression quality parameters 1210 8 svd noise produced watermark image bad watermark watermark image almost invisible whereas dwt noise generated watermark annoying still seen shape watermark image,digital image watermarking singular decomposition discrete wavelet transfrom,al farissi,perbandingan domain spasial svd domain frekuensi dwt digital image watermarking digital image watermarking singular decomposition discrete wavelet transfrom digital work especially digital images people photographers designers etc need require proof ownership work claimed anyone one way prove ownership digital work give watermark digital watermark work watermarking several give watermark digital image made comparing singular decomposition discrete wavelet transform svd insertion highest average psnr 404407 dwt highest average psnr 463658 extraction svd highest average psnr 226167 dwt highest average psnr 213460 durability extraction jpeg compression quality parameters 1210 8 svd noise produced watermark image bad watermark watermark image almost invisible whereas dwt noise generated watermark annoying still seen shape watermark image,mhs_156
memperbaiki instance noise missing mining,performa mining tergantung kualitas berkualitas rendah menyebabkan lemah kelas memiliki noise mengandung error inim enyebabkan berkurangnya noise memiliki kosong danatau derau danatau pencilan danatau inkonsistensi pembersihan cleaning mengisi nilainilai kosong menghaluskan berderau membuang pencilan memperbaiki inkonsistensi regresi inferensi naãve cleaning masukan ditentukan percobaan perangkat lunak instance 3110 percobaan menunjukan kfold validation naãve 850 dibandingkan 680 kunci mining naãve cleaning kfold validation,mining naãve cleaning kfold validation,rifkie primartha,memperbaiki instance noise missing mining mining naãve cleaning kfold validation performa mining tergantung kualitas berkualitas rendah menyebabkan lemah kelas memiliki noise mengandung error inim enyebabkan berkurangnya noise memiliki kosong danatau derau danatau pencilan danatau inkonsistensi pembersihan cleaning mengisi nilainilai kosong menghaluskan berderau membuang pencilan memperbaiki inkonsistensi regresi inferensi naãve cleaning masukan ditentukan percobaan perangkat lunak instance 3110 percobaan menunjukan kfold validation naãve 850 dibandingkan 680 kunci mining naãve cleaning kfold validation,mhs_157
memperbaiki instance noise missing mining,performa mining tergantung kualitas berkualitas rendah menyebabkan lemah kelas memiliki noise mengandung error inim enyebabkan berkurangnya noise memiliki kosong danatau derau danatau pencilan danatau inkonsistensi pembersihan cleaning mengisi nilainilai kosong menghaluskan berderau membuang pencilan memperbaiki inkonsistensi regresi inferensi naãve cleaning masukan ditentukan percobaan perangkat lunak instance 3110 percobaan menunjukan kfold validation naãve 850 dibandingkan 680 kunci mining naãve cleaning kfold validation,mining naãve cleaning kfold validation,kanda januar miraswan,memperbaiki instance noise missing mining mining naãve cleaning kfold validation performa mining tergantung kualitas berkualitas rendah menyebabkan lemah kelas memiliki noise mengandung error inim enyebabkan berkurangnya noise memiliki kosong danatau derau danatau pencilan danatau inkonsistensi pembersihan cleaning mengisi nilainilai kosong menghaluskan berderau membuang pencilan memperbaiki inkonsistensi regresi inferensi naãve cleaning masukan ditentukan percobaan perangkat lunak instance 3110 percobaan menunjukan kfold validation naãve 850 dibandingkan 680 kunci mining naãve cleaning kfold validation,mhs_158
perbandingan radial basis function recurrent neural network curah hujan palembang,abstractrainfall plays major role economic growth every region predetermined accurate important many sectors especially agriculture palembang paper two types artificial neural networks anns radial basis function rbf recurrent neural network rnn predict monthly rainfall collected agency meteorology climatology geophysics kenten district palembang moreover root mean square error rmse indices comparative experimental showed recurrent neural network acts better higher 007 higher root mean square error radial basis function furthermore predict future previously collected,radial basis function reccurent neural network rmse,danny matthew saputra,perbandingan radial basis function recurrent neural network curah hujan palembang radial basis function reccurent neural network rmse abstractrainfall plays major role economic growth every region predetermined accurate important many sectors especially agriculture palembang paper two types artificial neural networks anns radial basis function rbf recurrent neural network rnn predict monthly rainfall collected agency meteorology climatology geophysics kenten district palembang moreover root mean square error rmse indices comparative experimental showed recurrent neural network acts better higher 007 higher root mean square error radial basis function furthermore predict future previously collected,mhs_159
penerjemah frasa bahasa batak toba bahasa indonesia rnn encoder decoder,translation phrase batak toba indonesian important reference translation sentence batak toba indonesian recurrent neural network encoder decoder one techniques build automatic translator translation done recognize structure phrases batak toba indonesian languages formed pattern structure languages phrase translation done preprocessing normalizing recurrent neural network encoderdecoder updating weight generated backpropagation experiments conducted 08943 bilingual evaluation understanding bleu score 160 batak toba language phrases indonesian 8943 keywords recurrent neural network encoder decoder backpropagation bilingual evaluation understanding blue score,recurrent neural network encoder decoder backpropagation bilingual evaluation understanding blue score,novi yusliani,penerjemah frasa bahasa batak toba bahasa indonesia rnn encoder decoder recurrent neural network encoder decoder backpropagation bilingual evaluation understanding blue score translation phrase batak toba indonesian important reference translation sentence batak toba indonesian recurrent neural network encoder decoder one techniques build automatic translator translation done recognize structure phrases batak toba indonesian languages formed pattern structure languages phrase translation done preprocessing normalizing recurrent neural network encoderdecoder updating weight generated backpropagation experiments conducted 08943 bilingual evaluation understanding bleu score 160 batak toba language phrases indonesian 8943 keywords recurrent neural network encoder decoder backpropagation bilingual evaluation understanding blue score,mhs_160
penerjemah frasa bahasa batak toba bahasa indonesia rnn encoder decoder,translation phrase batak toba indonesian important reference translation sentence batak toba indonesian recurrent neural network encoder decoder one techniques build automatic translator translation done recognize structure phrases batak toba indonesian languages formed pattern structure languages phrase translation done preprocessing normalizing recurrent neural network encoderdecoder updating weight generated backpropagation experiments conducted 08943 bilingual evaluation understanding bleu score 160 batak toba language phrases indonesian 8943 keywords recurrent neural network encoder decoder backpropagation bilingual evaluation understanding blue score,recurrent neural network encoder decoder backpropagation bilingual evaluation understanding blue score,desty rodiah,penerjemah frasa bahasa batak toba bahasa indonesia rnn encoder decoder recurrent neural network encoder decoder backpropagation bilingual evaluation understanding blue score translation phrase batak toba indonesian important reference translation sentence batak toba indonesian recurrent neural network encoder decoder one techniques build automatic translator translation done recognize structure phrases batak toba indonesian languages formed pattern structure languages phrase translation done preprocessing normalizing recurrent neural network encoderdecoder updating weight generated backpropagation experiments conducted 08943 bilingual evaluation understanding bleu score 160 batak toba language phrases indonesian 8943 keywords recurrent neural network encoder decoder backpropagation bilingual evaluation understanding blue score,mhs_161
kombinasi inference certainty factor diagnosa penyakit gigi,abstract dental disease one many health problems people complain dental disease rank first list 10 disease often complained people indonesia need provide needed increase patient knowledge knowing illness symptoms inference certainty factor build diagnose dental disease output generated compared 30 dental disease patient evaluate build rate 9000,dental disease inference certainty factor,mastura diana marieska,kombinasi inference certainty factor diagnosa penyakit gigi dental disease inference certainty factor abstract dental disease one many health problems people complain dental disease rank first list 10 disease often complained people indonesia need provide needed increase patient knowledge knowing illness symptoms inference certainty factor build diagnose dental disease output generated compared 30 dental disease patient evaluate build rate 9000,mhs_162
redundant discrete wavelet transformsingular decomposition digital image watermarking,combines redundant discrete wavelet transform rdwt singular decomposition svd watermarking technique increase imperceptibility robustness digital images purpose measure load peak signal noise ratio psnr correlation coefficient cc inserted image file digital image consists 11 cover images 1 watermark image jpeg format divided three processes namely insertion extraction extraction attack tests insertion produce highest parameter scaling parameter 001 4474 test extraction produces highest parameter scaling factor 01 3426 test prove psnr cc high resistance type attack low defense type speckle attack,digital image watermarking redundant discrete wavelet transform singular decomposition,al farissi,redundant discrete wavelet transformsingular decomposition digital image watermarking digital image watermarking redundant discrete wavelet transform singular decomposition combines redundant discrete wavelet transform rdwt singular decomposition svd watermarking technique increase imperceptibility robustness digital images purpose measure load peak signal noise ratio psnr correlation coefficient cc inserted image file digital image consists 11 cover images 1 watermark image jpeg format divided three processes namely insertion extraction extraction attack tests insertion produce highest parameter scaling parameter 001 4474 test extraction produces highest parameter scaling factor 01 3426 test prove psnr cc high resistance type attack low defense type speckle attack,mhs_163
